CONTENIDO,,,,,,,,

1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por subgrupos ocupacionales de la mujer, según subgrupos ocupacionales del hombre",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2015 ",,,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,,
,, Menos de 15 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 5.726   , -     , 17   , 266   , 597   , 596   , 412   , 253   , 160   , 96   , 57   , 78   , 3.194   ,
 Menos de 15 , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,
 15 - 19 , 105   , -     , 6   , 57   , 23   , 6   , 6   , 2   , 1   , 1   , -     , -     , 3   ,
 20 - 24 , 520   , -     , 8   , 149   , 235   , 82   , 24   , 10   , 4   , -     , 1   , -     , 7   ,
 25 - 29 , 639   , -     , 2   , 49   , 253   , 221   , 55   , 17   , 12   , 1   , -     , 2   , 27   ,
 30 - 34 , 515   , -     , 1   , 6   , 60   , 196   , 144   , 39   , 17   , 5   , 1   , 2   , 44   ,
 35 - 39 , 332   , -     , -     , 2   , 6   , 42   , 118   , 71   , 25   , 10   , 6   , 5   , 47   ,
 40 - 44 , 211   , -     , -     , -     , 4   , 7   , 17   , 61   , 42   , 20   , 8   , 8   , 44   ,
 45 - 49 , 94   , -     , -     , 1   , 2   , 3   , 7   , 10   , 25   , 21   , 5   , 1   , 19   ,
 50 - 54 , 67   , -     , -     , -     , -     , 1   , 2   , 1   , 3   , 16   , 16   , 11   , 17   ,
 55 - 59 , 37   , -     , -     , -     , 1   , -     , 1   , 1   , 1   , 2   , 9   , 15   , 7   ,
 60 y más , 31   , -     , -     , -     , -     , -     , -     , -     , 1   , 2   , 2   , 20   , 6   ,
 Ignorado , 3.175   , -     , -     , 2   , 13   , 38   , 38   , 41   , 29   , 18   , 9   , 14   , 2.973   ,
" Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer, año 2015 ",,,,,,,
 Pueblo de pertenencia de la mujer , Total , Pueblo de pertenencia del hombre ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 5.726 , 345 , 2 , - , 1.925 , 15 , 3.439 
 Maya , 334 , 228 , 1 , - , 47 , 1 , 57 
 Garífuna , 1 , - , 1 , - , - , - , - 
 Xinka , - , - , - , - , - , - , - 
 Mestizo / ladino , 1.983 , 71 , - , - , 1.593 , 7 , 312 
 Otro , 12 , 3 , - , - , 5 , 1 , 3 
 Ignorado , 3.396 , 43 , - , - , 280 , 6 , 3.067 
" Divorcios por mes de registro, según departamento de registro, año 2015 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
26, 194   , 29   , 28   , 22   , 1   , 28   , 34   , -     , 29   , -     , 8   , 15   , -     
27, 212   , 18   , 28   , 28   , 25   , 24   , -     , 36   , 22   , -     , 18   , 13   , -     
28, 190   , 24   , -     , -     , 26   , 23   , -     , 14   , 28   , 30   , 23   , 1   , 21   
29, 130   , 22   , -     , -     , 24   , 18   , 3   , 15   , -     , 22   , 14   , -     , 12   
30, 215   , 15   , -     , 21   , 33   , 1   , 20   , 35   , 1   , 37   , 23   , 19   , 10   
31, 90   , -     , -     , 25   , -     , -     , -     , 37   , 28   , -     , -     , -     , -     
CONTENIDO,,,,,,,,

1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por subgrupos ocupacionales de la mujer, según subgrupos ocupacionales del hombre",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2014 ",,,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,,
,, Menos de 15 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 5.575   , -     , 12   , 244   , 505   , 485   , 389   , 225   , 173   , 106   , 54   , 65   , 3.317   ,
 Menos de 15 , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,
 15 - 19 , 107   , -     , 9   , 53   , 29   , 12   , 2   , -     , -     , -     , -     , -     , 2   ,
 20 - 24 , 447   , -     , 3   , 138   , 191   , 63   , 20   , 8   , 2   , -     , -     , -     , 22   ,
 25 - 29 , 554   , -     , -     , 40   , 219   , 162   , 63   , 15   , 8   , 1   , 2   , 1   , 43   ,
 30 - 34 , 443   , -     , -     , 3   , 37   , 166   , 110   , 34   , 8   , 6   , 4   , 1   , 74   ,
 35 - 39 , 315   , -     , -     , 3   , 11   , 34   , 107   , 73   , 19   , 14   , 3   , 5   , 46   ,
 40 - 44 , 178   , -     , -     , -     , -     , 5   , 28   , 37   , 57   , 13   , 3   , 2   , 33   ,
 45 - 49 , 121   , -     , -     , -     , 2   , 1   , 1   , 13   , 37   , 25   , 2   , 7   , 33   ,
 50 - 54 , 74   , -     , -     , 1   , -     , 1   , 1   , 4   , 7   , 17   , 15   , 14   , 14   ,
 55 - 59 , 38   , -     , -     , -     , -     , -     , -     , 2   , 3   , 1   , 11   , 13   , 8   ,
 60 y más , 25   , -     , -     , -     , -     , -     , 1   , 1   , -     , 3   , 2   , 10   , 8   ,
 Ignorado , 3.273   , -     , -     , 6   , 16   , 41   , 56   , 38   , 32   , 26   , 12   , 12   , 3.034   ,
" Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer, año 2014 ",,,,,,,
 Pueblo de pertenencia de la mujer , Total , Pueblo de pertenencia del hombre ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 5.575 , 327 , 2 , - , 1.702 , 16 , 3.528 
 Maya , 298 , 223 , - , - , 25 , 1 , 49 
 Garífuna , 2 , - , 1 , - , - , - , 1 
 Xinka , - , - , - , - , - , - , - 
 Mestizo / ladino , 1.770 , 61 , - , - , 1.363 , 10 , 336 
 Otro , 3 , - , - , - , 2 , - , 1 
 Ignorado , 3.502 , 43 , 1 , - , 312 , 5 , 3.141 
" Divorcios por mes de registro, según departamento de registro, año 2014 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los departamentos, 5.575 , 396 , 476 , 553 , 429 , 511 , 546 , 490 , 418 , 420 , 475 , 486 , 375 
Guatemala, 2.180 , 139 , 196 , 190 , 177 , 195 , 245 , 189 , 140 , 146 , 192 , 234 , 137 
El Progreso, 109 , 9 , 12 , 11 , 9 , 5 , 6 , 7 , 4 , 14 , 5 , 9 , 18 
Sacatepéquez, 122 , 10 , 11 , 11 , 6 , 12 , 18 , 6 , 13 , 11 , 6 , 9 , 9 
Chimaltenango, 137 , 8 , 12 , 16 , 10 , 10 , 14 , 14 , 9 , 10 , 8 , 15 , 11 
Escuintla, 273 , 17 , 25 , 31 , 24 , 34 , 19 , 15 , 20 , 23 , 29 , 15 , 21 
Santa Rosa, 124 , 3 , 16 , 8 , 11 , 11 , 12 , 16 , 11 , 12 , 11 , 10 , 3 
Sololá, 61 , 5 , 3 , 6 , 4 , 4 , 3 , 5 , 6 , 5 , 7 , 9 , 4 
Totonicapán, 98 , 11 , 5 , 14 , 6 , 9 , 11 , 9 , 4 , 8 , 11 , 6 , 4 
Quetzaltenango, 350 , 23 , 16 , 37 , 22 , 24 , 27 , 37 , 38 , 29 , 48 , 26 , 23 
Suchitepéquez, 187 , 16 , 19 , 20 , 15 , 12 , 16 , 25 , 16 , 13 , 11 , 12 , 12 
Retalhuleu, 152 , 16 , 11 , 17 , 10 , 11 , 8 , 20 , 16 , 12 , 6 , 16 , 9 
San Marcos, 192 , 21 , 13 , 22 , 16 , 14 , 16 , 7 , 19 , 13 , 21 , 17 , 13 
Huehuetenango, 164 , 7 , 12 , 23 , 11 , 12 , 16 , 17 , 10 , 19 , 12 , 12 , 13 
Quiché, 158 , 11 , 8 , 18 , 10 , 15 , 20 , 9 , 15 , 13 , 21 , 8 , 10 
Baja Verapaz, 101 , 11 , 10 , 8 , 6 , 12 , 6 , 7 , 8 , 10 , 5 , 13 , 5 
Alta Verapaz, 139 , 14 , 6 , 19 , 9 , 18 , 10 , 17 , 11 , 9 , 12 , 7 , 7 
Petén, 129 , 10 , 10 , 10 , 11 , 14 , 18 , 10 , 9 , 15 , 7 , 4 , 11 
Izabal, 153 , 10 , 13 , 20 , 15 , 12 , 9 , 11 , 8 , 14 , 14 , 12 , 15 
Zacapa, 151 , 9 , 16 , 18 , 17 , 12 , 10 , 17 , 15 , 8 , 11 , 6 , 12 
Chiquimula, 147 , 15 , 11 , 16 , 9 , 21 , 22 , 12 , 8 , 2 , 12 , 9 , 10 
Jalapa, 127 , 14 , 17 , 10 , 6 , 20 , 9 , 14 , 10 , 6 , 5 , 8 , 8 
Jutiapa, 321 , 17 , 34 , 28 , 25 , 34 , 31 , 26 , 28 , 28 , 21 , 29 , 20 
" Divorcios por subgrupos ocupacionales de la mujer, según subgrupos ocupacionales del hombre, año 2014 ",,,,,,,,,,,,,
 Subgrupos ocupacionales del hombre , Subgrupos ocupacionales de la mujer ,,,,,,,,,,,,
, Total , Ocupaciones militares , Directores y gerentes , Profesionales científicos e intelectuales , Técnicos y profesionales de nivel medio , Personal de apoyo administrativo , Trabajadores de los servicios y vendedores de comercios y mercados ," Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros "," Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", Operadores de intalaciones y máquinas y ensambladores , Ocupaciones elementales , Ocupación  no especificada , Ignorado 
 Todos los grupos ocupacionales , 5.575 , 1 , 22 , 454 , 126 , 354 , 130 , - , 21 , 25 , 8 , 2.735 , 1.699 
 Ocupaciones militares , 12 , - , - , 4 , 1 , 1 , - , - , - , - , - , 6 , - 
 Directores y gerentes , 45 , - , 1 , 8 , 2 , 8 , 2 , - , - , 1 , - , 21 , 2 
 Profesionales científicos e intelectuales , 386 , - , 10 , 132 , 23 , 38 , 13 , - , 1 , - , 1 , 144 , 24 
 Técnicos y profesionales de nivel medio , 301 , - , 3 , 67 , 25 , 54 , 13 , - , 1 , - , 1 , 111 , 26 
 Personal de apoyo administrativo , 232 , - , - , 34 , 13 , 64 , 10 , - , - , 1 , - , 91 , 19 
 Trabajadores de los servicios y vendedores de comercios y mercados , 322 , - , 1 , 30 , 9 , 33 , 29 , - , 3 , 3 , - , 201 , 13 
" Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros ", 575 , - , - , 14 , 3 , 11 , 10 , - , 3 , 3 , 2 , 449 , 80 
" Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", 271 , 1 , 2 , 14 , 11 , 18 , 10 , - , 5 , 5 , 1 , 170 , 34 
 Operadores de intalaciones y máquinas y ensambladores , 143 , - , 1 , 16 , 6 , 6 , 7 , - , 2 , 4 , - , 83 , 18 
 Ocupaciones elementales , 180 , - , - , 7 , 1 , 2 , 2 , - , 1 , 2 , 1 , 145 , 19 
 Ocupación no especificada , 1.552 , - , 2 , 101 , 25 , 102 , 25 , - , 4 , 4 , 2 , 1.184 , 103 
 Ignorado , 1.556 , - , 2 , 27 , 7 , 17 , 9 , - , 1 , 2 , - , 130 , 1.361 










"Divorcios por mes de ocurrencia, según día de ocurrencia, año 2014",,,,,,,,,,,,,
Día de ocurrencia,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los días, 5.575   , 440   , 480   , 529   , 498   , 504   , 472   , 522   , 444   , 477   , 520   , 346   , 343   
1, 144   , 1   , -     , 3   , 31   , -     , -     , 24   , 19   , 15   , 26   , -     , 25   
2, 156   , 10   , 1   , 1   , 23   , 22   , 19   , 19   , -     , 15   , 21   , 1   , 24   
3, 251   , 10   , 23   , 36   , 25   , 1   , 28   , 30   , -     , 23   , 24   , 20   , 31   
4, 164   , -     , 25   , 26   , 23   , -     , 14   , 13   , 22   , 26   , -     , 11   , 4   
5, 191   , -     , 26   , 27   , -     , 25   , 29   , -     , 22   , 24   , 1   , 16   , 21   
6, 187   , 20   , 20   , 28   , -     , 28   , 21   , -     , 17   , -     , 29   , 24   , -     
7, 233   , 16   , 34   , 36   , 29   , 23   , -     , 26   , 24   , -     , 33   , 12   , -     
8, 153   , 18   , -     , 1   , 22   , 30   , -     , 12   , 20   , 17   , 21   , -     , 12   
9, 187   , 35   , -     , 1   , 26   , 12   , 23   , 21   , 1   , 23   , 29   , -     , 16   
10, 239   , 17   , 28   , 23   , 20   , -     , 22   , 35   , -     , 20   , 34   , 24   , 16   
11, 182   , -     , 26   , 22   , 22   , -     , 23   , 19   , 10   , 34   , -     , 13   , 13   
12, 199   , -     , 18   , 24   , 1   , 31   , 31   , -     , 27   , 23   , -     , 24   , 20   
13, 160   , 18   , 23   , 27   , -     , 16   , 17   , 1   , 17   , -     , 23   , 17   , 1   
14, 211   , 19   , 25   , 17   , 34   , 17   , -     , 29   , 25   , 1   , 27   , 17   , -     
15, 139   , 12   , 1   , -     , 27   , 30   , -     , 18   , 10   , -     , 19   , -     , 22   
16, 161   , 19   , 1   , -     , 1   , 15   , 39   , 21   , -     , 21   , 29   , -     , 15   
17, 190   , 20   , 27   , 25   , 1   , 1   , 17   , 24   , -     , 19   , 17   , 25   , 14   
18, 168   , -     , 24   , 22   , 1   , -     , 22   , 15   , 22   , 26   , -     , 15   , 21   
19, 184   , -     , 26   , 23   , -     , 37   , 26   , -     , 18   , 25   , -     , 13   , 16   
20, 163   , 35   , 25   , 26   , 1   , 22   , 18   , 1   , 19   , -     , 2   , 14   , -     
21, 183   , 19   , 20   , 25   , 19   , 21   , -     , 26   , 28   , 1   , 14   , 10   , -     
22, 197   , 16   , 2   , 1   , 29   , 33   , 1   , 26   , 23   , 34   , 17   , -     , 15   
23, 164   , 31   , 2   , -     , 20   , 16   , 20   , 20   , -     , 19   , 27   , -     , 9   
24, 227   , 24   , 22   , 26   , 39   , 1   , 17   , 45   , 1   , 9   , 25   , 18   , -     
25, 178   , -     , 32   , 22   , 24   , -     , 26   , 20   , 16   , 20   , -     , 18   , -     
26, 165   , -     , 16   , 23   , -     , 31   , 32   , -     , 21   , 25   , -     , 17   , -     
27, 183   , 21   , 18   , 24   , -     , 23   , 27   , 2   , 24   , -     , 24   , 20   , -     
28, 195   , 20   , 15   , 18   , 32   , 20   , -     , 17   , 34   , 2   , 19   , 17   , 1   
29, 180   , 22   , -     , -     , 32   , 27   , -     , 10   , 23   , 32   , 20   , -     , 14   
30, 168   , 18   , -     , 1   , 16   , 22   , -     , 15   , 1   , 23   , 39   , -     , 33   
31, 73   , 19   , -     , 21   , -     , -     , -     , 33   , -     , -     , -     , -     , -     
CONTENIDO,,,,,,,,

,Presentación,,,,,,,
,"Divorcios por año de ocurrencia, según departamento de registro",,,,,,,
1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del esposo, según pueblo de pertenencia de la esposa",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por grupos ocupacionales de la esposa, según grupos ocupacionales del esposo",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
,Tasa de Divorcialidad,,,,,,,
,Nota Técnica,,,,,,,
" Divorcios por años de ocurrencia, según departamento de registro ",,,,,
"Serie histórica, 2019 - 2023",,,,,
 Departamento de registro , Año de ocurrencia ,,,,
,2019,2020,2021,2022,2023
Todos los departamentos, 8.203 , 4.074 , 9.621 , 9.950 , 10.250 
Guatemala, 3.687 , 1.412 , 3.481 , 3.494 , 3.631 
El Progreso, 144 , 67 , 232 , 183 , 152 
Sacatepéquez, 185 , 98 , 209 , 201 , 226 
Chimaltenango, 171 , 127 , 270 , 209 , 209 
