DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
11,1101,10,2014,9,7,11,1101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,1,7,1,0101,999,999,9,9,320,320,1,1,52,NEOG
1,0101,10,2014,3,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,9,7,1,0108,999,999,9,9,320,320,9,9,NEOG,NEOG
8,0802,10,2014,14,7,8,0802,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
18,1805,10,2014,7,7,18,1805,999,999,9,9,320,320,9,9,61,23
19,1905,10,2014,20,8,19,1903,999,999,9,9,320,320,9,9,NEOG,41
14,1421,10,2014,11,9,5,0508,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
20,2007,10,2014,26,6,20,2007,999,999,9,9,320,320,9,9,61,IGNORADO
1,0101,10,2014,23,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
14,1406,10,2014,26,5,14,1406,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,7,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
16,1601,10,2014,3,6,16,1601,999,999,9,9,320,320,9,9,43,NEOG
16,1601,10,2014,15,4,16,1601,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,21,2,1,0101,999,999,9,9,320,320,9,9,75,NEOG
5,0502,10,2014,1,8,5,0511,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0113,10,2014,10,9,1,0113,999,999,9,9,320,320,9,9,72,NEOG
14,1412,10,2014,17,9,14,1412,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
22,2205,10,2014,25,9,22,2205,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,11,4,1,0101,999,999,9,9,320,320,9,9,43,33
1,0113,10,2014,5,8,1,0113,999,999,9,9,320,320,9,9,71,NEOG
1,0110,10,2014,10,7,1,0110,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,20,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
11,1109,10,2014,18,7,11,1109,999,999,9,9,320,320,9,9,61,NEOG
10,1009,10,2014,24,7,10,1001,999,999,9,9,320,320,1,9,52,NEOG
1,0116,10,2014,3,7,1,0116,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,11,7,1,0106,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0116,10,2014,10,7,1,0116,999,999,9,9,320,320,9,9,NEOG,NEOG
18,1801,10,2014,13,6,18,1801,999,999,9,9,320,320,9,9,NEOG,IGNORADO
9,0901,10,2014,3,9,9,0901,999,999,9,9,320,320,9,1,NEOG,NEOG
22,2201,10,2014,17,9,22,2201,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,5,9,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
5,0503,10,2014,1,8,5,0503,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
22,2203,10,2014,29,8,22,2203,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,1,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0115,10,2014,21,5,1,0115,999,999,9,9,320,320,9,9,61,NEOG
1,0101,10,2014,19,6,1,0101,999,999,9,9,320,320,1,9,43,41
1,0101,10,2014,5,9,1,0101,999,999,9,9,320,320,9,9,52,NEOG
6,0604,10,2014,22,9,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
10,1001,10,2014,11,9,10,1009,999,999,9,9,320,320,9,9,61,NEOG
2,0201,10,2014,12,5,2,0207,999,999,9,9,320,320,9,9,NEOG,NEOG
9,0901,10,2014,22,8,9,0901,999,999,9,9,320,320,9,9,35,23
14,1401,10,2014,18,7,14,1401,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
14,1401,10,2014,21,7,14,1401,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,11,9,1,0101,999,999,9,9,320,320,9,9,22,41
5,0509,10,2014,8,9,1,0101,999,999,9,9,320,320,9,9,23,35
5,0509,10,2014,8,9,5,0510,999,999,9,9,320,320,9,9,25,33
1,0101,10,2014,22,9,1,0101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,31,7,3,0301,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,3,10,1,0101,999,999,9,9,320,320,9,9,71,NEOG
1,0101,10,2014,28,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,10,7,1,0101,999,999,9,9,320,320,1,1,75,NEOG
17,1712,10,2014,25,6,17,1712,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,10,7,1,0101,999,999,9,9,320,320,9,9,22,43
17,1712,10,2014,1,7,17,1712,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,17,7,1,0101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
16,1615,10,2014,14,9,16,1615,999,999,9,9,320,320,9,9,61,NEOG
1,0101,10,2014,11,3,1,0101,999,999,9,9,320,320,9,9,93,NEOG
1,0101,10,2014,4,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
9,0910,10,2014,11,9,9,0909,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,11,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,29,7,1,0101,999,999,9,9,320,320,9,9,25,41
17,1712,10,2014,10,6,17,1712,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
13,1312,10,2014,22,8,13,1312,999,999,9,9,320,320,9,9,61,NEOG
14,1412,10,2014,17,9,14,1412,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
9,0920,10,2014,20,8,9,0920,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,29,8,1,0101,999,999,9,9,320,320,9,9,61,NEOG
1,0101,10,2014,18,7,1,0101,999,999,9,9,320,320,9,9,52,41
16,1615,10,2014,24,7,12,1202,999,999,9,9,320,320,9,9,35,41
1,0101,10,2014,4,9,1,0101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
19,1901,10,2014,18,6,19,1901,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,10,7,17,1709,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,23,7,1,0108,999,999,9,9,320,320,9,9,NEOG,NEOG
10,1001,10,2014,25,9,10,1001,999,999,9,9,320,320,9,9,52,NEOG
9,0920,10,2014,21,8,9,0920,999,999,9,9,320,320,9,9,NEOG,NEOG
19,1902,10,2014,28,8,19,1901,999,999,9,9,320,320,9,9,61,IGNORADO
6,0601,10,2014,16,9,16,1601,999,999,9,9,320,320,9,9,22,26
1,0101,10,2014,26,6,1,0101,999,999,9,9,320,320,1,1,NEOG,NEOG
5,0504,10,2014,10,9,5,0502,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,22,9,1,0101,999,999,9,9,320,320,9,9,41,NEOG
4,0401,10,2014,26,5,1,0101,999,999,9,9,320,320,9,9,23,23
1,0101,10,2014,26,6,10,1002,999,999,9,9,320,320,1,9,61,NEOG
1,0101,10,2014,2,7,1,0101,999,999,9,9,320,320,9,9,26,26
19,1901,10,2014,28,8,19,1901,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
9,0902,10,2014,24,7,9,0902,999,999,9,9,320,320,9,9,NEOG,NEOG
9,0923,10,2014,7,7,9,0923,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,24,7,1,0101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
22,2203,10,2014,11,9,22,2203,999,999,9,9,320,320,9,9,92,IGNORADO
9,0901,10,2014,18,8,9,0901,999,999,9,9,320,320,9,9,61,23
9,0901,10,2014,19,8,9,0901,999,999,9,9,320,320,9,9,81,NEOG
9,0901,10,2014,7,7,9,0901,999,999,9,9,320,320,9,9,NEOG,23
6,0604,10,2014,22,9,1,0101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
9,0910,10,2014,20,5,9,0901,999,999,9,9,320,320,9,9,72,NEOG
1,0101,10,2014,1,8,1,0115,999,999,9,9,320,320,9,9,71,NEOG
6,0611,10,2014,9,9,6,0611,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0113,10,2014,11,9,1,0113,999,999,9,9,320,320,9,9,31,NEOG
12,1216,10,2014,26,5,12,1216,999,999,9,9,320,320,1,9,IGNORADO,IGNORADO
9,0920,10,2014,13,10,9,0920,999,999,9,9,320,320,1,1,71,IGNORADO
5,0504,10,2014,1,8,5,0502,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,19,9,1,0101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,12,9,17,1712,999,999,9,9,320,320,1,9,IGNORADO,IGNORADO
1,0101,10,2014,21,8,14,1406,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
9,0914,10,2014,9,6,9,0914,999,999,9,9,320,320,9,9,31,75
5,0505,10,2014,7,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,26,9,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
9,0909,10,2014,20,8,9,0909,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,31,7,1,0115,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,22,8,1,0101,999,999,9,9,320,320,1,9,31,NEOG
2,0201,10,2014,5,9,18,1804,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0115,10,2014,28,5,1,0108,999,999,9,9,320,320,9,9,NEOG,NEOG
19,1901,10,2014,19,8,19,1901,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,24,9,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
13,1301,10,2014,17,9,13,1301,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
21,2101,10,2014,3,9,21,2101,999,999,9,9,320,320,9,9,92,NEOG
1,0110,10,2014,19,9,1,0110,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,22,9,1,0117,999,999,9,9,320,320,1,9,IGNORADO,IGNORADO
1,0101,10,2014,22,7,8,0805,999,999,9,9,320,320,1,1,52,NEOG
1,0108,10,2014,2,6,1,0108,999,999,9,9,320,320,9,9,NEOG,NEOG
22,2212,10,2014,14,8,1,0101,999,999,9,9,320,320,9,1,52,NEOG
1,0101,10,2014,23,5,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
12,1212,10,2014,24,9,12,1212,999,999,9,9,320,320,9,9,61,NEOG
21,2106,10,2014,4,9,21,2106,999,999,9,9,320,320,9,9,52,NEOG
12,1212,10,2014,19,9,12,1212,999,999,9,9,320,320,1,9,61,NEOG
20,2001,10,2014,23,1,20,2001,999,999,9,9,320,320,9,9,NEOG,NEOG
16,1601,10,2014,12,8,16,1605,999,999,9,9,320,320,9,9,NEOG,NEOG
20,2001,10,2014,28,7,20,2001,999,999,9,9,320,320,9,9,NEOG,IGNORADO
20,2001,10,2014,24,7,20,2001,999,999,9,9,320,320,9,9,61,IGNORADO
1,0101,10,2014,27,2,1,0101,999,999,9,9,320,320,1,1,IGNORADO,IGNORADO
1,0101,10,2014,29,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,10,7,1,0101,999,999,9,9,320,320,9,1,NEOG,NEOG
1,0108,10,2014,4,8,1,0108,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,8,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,12,8,1,0101,999,999,9,9,320,320,9,9,52,51
1,0115,10,2014,22,7,1,0115,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,16,9,1,0101,999,999,9,9,320,320,9,9,51,51
18,1804,10,2014,19,8,18,1805,999,999,9,9,320,320,9,9,61,NEOG
16,1601,10,2014,4,9,16,1601,999,999,9,9,320,320,9,9,51,NEOG
1,0101,10,2014,12,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,26,6,1,0117,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
15,1506,10,2014,25,8,15,1506,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,4,7,1,0101,999,999,9,9,320,320,1,1,34,IGNORADO
5,0501,10,2014,22,9,5,0501,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
15,1503,10,2014,5,8,15,1503,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,9,9,1,0101,999,999,9,9,320,320,9,9,43,41
1,0101,10,2014,4,6,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,24,7,1,0115,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,2,9,1,0101,999,999,9,9,320,320,9,9,NEOG,24
1,0101,10,2014,29,5,10,1013,999,999,9,9,320,320,9,9,NEOG,NEOG
18,1803,10,2014,10,9,18,1803,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,21,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,9,7,1,0101,999,999,9,9,320,320,9,9,31,43
11,1101,10,2014,7,10,11,1101,999,999,9,9,320,320,9,9,72,NEOG
1,0101,10,2014,11,9,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
5,0506,10,2014,7,10,5,0506,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
5,0504,10,2014,11,8,5,0504,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,24,2,1,0101,999,999,9,9,320,320,9,9,NEOG,43
1,0101,10,2014,22,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,8,8,1,0101,999,999,9,9,320,320,9,9,43,NEOG
1,0101,10,2014,21,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,22,8,1,0108,999,999,9,9,320,320,1,1,NEOG,NEOG
5,0507,10,2014,13,8,5,0507,999,999,9,9,320,320,9,1,IGNORADO,IGNORADO
3,0312,10,2014,17,9,3,0312,999,999,9,9,320,320,9,1,IGNORADO,IGNORADO
19,1905,10,2014,23,6,19,1905,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
13,1304,10,2014,20,1,12,1207,999,999,9,9,320,320,9,9,61,NEOG
5,0502,10,2014,15,8,5,0502,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
18,1804,10,2014,19,9,18,1804,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
18,1804,10,2014,8,9,18,1804,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
16,1604,10,2014,19,9,16,1604,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,25,6,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
18,1805,10,2014,11,7,18,1805,999,999,9,9,320,320,9,9,72,NEOG
5,0502,10,2014,17,7,5,0502,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,3,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,25,9,1,0107,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,10,2014,3,3,1,0101,999,999,9,9,320,320,9,9,NEOG,41
1,0101,10,2014,19,9,3,0307,999,999,9,9,320,320,9,3,IGNORADO,NEOG
1,0101,10,2014,27,6,16,1613,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
20,2001,10,2014,1,7,20,2001,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2014,19,8,15,1501,999,999,9,9,320,320,1,1,NEOG,NEOG
1,0103,10,2014,12,9,1,0101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
9,0904,10,2014,9,9,9,0904,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0115,10,2014,21,7,1,0101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
13,1306,10,2014,19,3,13,1306,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,11,2014,3,9,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,11,2014,26,9,1,0101,999,999,9,9,320,320,9,9,43,23
22,2211,11,2014,28,7,22,2211,999,999,9,9,320,320,9,9,92,NEOG
11,1101,11,2014,21,9,11,1107,999,999,9,9,320,320,9,9,NEOG,NEOG
5,0501,11,2014,5,9,5,0501,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
12,1201,11,2014,4,8,1,0101,999,999,9,9,320,320,9,9,26,23
5,0506,11,2014,6,10,5,0506,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
5,0506,11,2014,24,7,5,0506,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
12,1201,11,2014,28,8,12,1201,999,999,9,9,320,320,1,1,IGNORADO,IGNORADO
10,1001,11,2014,3,10,10,1001,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
7,0701,11,2014,10,9,10,1014,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,11,2014,5,9,1,0101,999,999,9,9,320,320,9,9,72,NEOG
1,0101,11,2014,28,8,1,0101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0114,11,2014,7,7,1,0114,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,11,2014,10,7,1,0101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,11,2014,14,8,1,0101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0117,11,2014,29,9,6,0614,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
12,1201,11,2014,21,10,12,1201,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,11,2014,29,8,1,0101,999,999,9,9,320,320,9,9,21,23
18,1802,11,2014,15,10,1,0108,999,999,9,9,320,320,1,9,93,NEOG
1,0101,11,2014,4,9,3,0301,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0116,11,2014,8,9,1,0117,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0117,11,2014,22,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,11,2014,29,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,11,2014,25,7,1,0101,999,999,9,9,320,320,9,9,32,32
13,1317,11,2014,10,2,13,1317,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
22,2202,11,2014,26,9,22,2202,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,11,2014,7,3,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,11,2014,24,6,1,0115,999,999,9,9,320,320,9,9,72,NEOG
9,0904,11,2014,16,6,9,0904,999,999,9,9,320,320,1,1,IGNORADO,IGNORADO
1,0101,11,2014,17,3,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,11,2014,13,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,11,2014,29,9,1,0101,999,999,9,9,320,320,9,9,NEOG,41
1,0101,11,2014,4,9,5,0503,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
5,0502,11,2014,27,8,5,0502,999,999,9,9,320,320,9,9,23,23
11,1101,11,2014,5,8,11,1101,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
1,0101,11,2014,29,8,1,0108,999,999,9,9,320,320,9,9,NEOG,NEOG
12,1202,11,2014,24,7,12,1202,999,999,9,9,320,320,1,1,61,NEOG
13,1301,11,2014,17,3,13,1301,999,999,9,9,320,320,9,9,IGNORADO,IGNORADO
